,разметка,текст,контекст,community_id,community_type
38,skip,"[id253401186|Софья], 1) объясните ""генерАльшу"" и  приведите лингвистический  источник правильного образования ""благозвучных"" феминитивов. Насколько я знаю о фонетических процессах в славянских языках, ранее имело место явление возрастающей звучности. Это было давно, до падения редуцированных в 12 веке, но оставило отпечаток на принятой ""благозвучности"" слов, происходящих из славянских языков. Почитайте: с этой точки зрения феминитивы на ""ка"" ничему не противоречат - открытый слог, в конце не особо глухой согласный звук (глухой в паре г-к, но не фрикативный). Только вот это правило не применимо ни к чему из названных нами феминитивов, потому что их основы были заимствованы из европейских языков. 
2) Действительно, ровно (!) сто лет назад феминитивы стали более употребимы в нашей стране благодаря социалистической повестке. Но вот до революции, до реформ языка?
3) В чём именно тогда проявляется коверканье? Вы сами для себя определяете, не нравится Вам - значит, коверканье? Что это за аргумент ""ну...ммм...просто не звучат"". Не звучит скорее подобная критика.
4) Вы о каких ""русских"" названиях профессий говорите? В смысле, Вы, наверное, имели в виду давно обрусевшие европейские заимствования, в подавляющем числе берущие корни из латинского? Из русского (точнее, исконно славянского) могу вспомнить не столь давнее "" женщина-врач"" (как видите, нормального феминитива нет, потому что ""врачиха"" имеет негативную эмоциональную  окраску), ""доярка"", ""повитуха"", может быть, и тд. Это не феминитивы под те профессии, которые были доступны мужчинам. Это виды обслуживающего труда, на который только и имели права женщины. Как же ""княгиня"", ""царица""? Это определялось социальным статусом мужа, в общем-то.
5)Короче, словари - это такое себе, если там не будет много вариантов, чтобы не было споров, как сейчас. Мне, например, нравится, как сейчас в медиа-пространстве женщины используют самые разные варианты (всевозможные суффиксы). Язык живёт. Безо всяких словарей. Словари очень хороши для лингвистов, они умеют их изучать, а вот обыватели, беря в руки словарь, превращаются в снобов. Зато грамотных).
В общем, да. Пусть будет по-разному. Когда мы слышим слово, мы должны думать не о том, как мы его услышали, а о том, по-че-му мы его услышали.","[id322684775|Женя], сомневаюсь, что сто лет назад данные феминитивы считались коверканьем, ведь всё-таки они созданы по правилам русского языка.💁🏽‍♀️ Когда людям просто не привычно это не считается коверканьем. ""Машини́стку"" или ""студе́нтку"" нельзя сравнить с ""до́кторкой"", ""бло́геркой"", ""а́вторкой"". Эти слова просто не звучат. Но объяснить, что если ударение падает на корень, а не перед суффиксом, то суффикс ""-ка"" здесь не подходит – люди не могут. Здесь было бы грамотнее использовать суффикс ""-ша"", так как благозвучность важна. Но я никого не упрекаю в использовании этих феминитивов, всё-таки нормы для них ещё нет. Как раз ""терапевтка"" подходит под правило и звучит, просто как Вы сказали, оно новое и некоторым непривычно. 🤷🏽‍♀️
У всех русских названий профессий и родов деятельности есть феминитивы, в отличии от слов латинского происхождения. Но надеюсь, со временем и к ним подберут грамотные феминитивы и закрепят в словарях.",1,nontoxic
39,skip,"Просто терапевТка, а не терапевка 🤷🏻‍♀️",Терапевке😐,1,nontoxic
40,skip,"[id10971267|Наталья], авторка уже выше написала, что букву пропустила случайно","Просто терапевТка, а не терапевка 🤷🏻‍♀️",1,nontoxic
41,skip,"[id21762017|Ксения], а ну супер 👍","[id10971267|Наталья], авторка уже выше написала, что букву пропустила случайно",1,nontoxic
42,neutral,"Любые препараты может назначить только врач. Опираясь на анализы, назначит лекарство или БАДы, в зависимости от того, насколько всё плохо. 
У меня гемоглобин примерно такой же как у вас, ферритин ещё ниже. Мне врач назначила БАД (конкретной марки), тк (по её словам) нужна поддержка и профилактика, а не лечение, тк всё не так плохо. Но! У меня остальные показатели идеально в норме. Поэтому, сходите к врачу) вам подскажут.",post,1,nontoxic
43,neutral,"что надо и что не надо, это терапевтка уже скажет. просто надо придти и сказать, мол я сдала анализы профилактически (описать жалобы если есть), и спросить, как считаете, нормально всё у меня или нет, надо ли что-то делать?
(про веганство не советую говорить, вас 99% сразу развернут)",post,1,nontoxic
44,skip,"К терапевтке, конечно, да. Не болейте)",post,1,nontoxic
45,skip,"Может кто-нибудь знает какие таблетосы повышают только ферритин? Была у 3 терапевтов и 1 гематолога, все сказали, что ничего сделать не могут :') гемоглобин 140 и тип если начать принимать железо, то гемоглобин повысится ещё больше и придётся делать кровопускание. Я уже устала от постоянного головокружения и волосопада 😑",post,1,nontoxic
46,skip,"[id442863564|Дарья], это не правда, кровопускание никто не делает сейчас! Ферритин поднимают приемом железа. Гемоглобин выше нормы и не поднимется. Волосопад может быть и от гипотиреоза, не только дефицит железа. 
Какую-то страшилку вам сказали, странно очень","Может кто-нибудь знает какие таблетосы повышают только ферритин? Была у 3 терапевтов и 1 гематолога, все сказали, что ничего сделать не могут :') гемоглобин 140 и тип если начать принимать железо, то гемоглобин повысится ещё больше и придётся делать кровопускание. Я уже устала от постоянного головокружения и волосопада 😑",1,nontoxic
47,speech,"[id54217215|Анастасия], спасибо что подсказали про ферритин","Как Вы себя чувствуете с такими показателями ферритина и витамина D? Срочно к врачу. Ферритин с таким показателем лучше поднимать железосодержащими растворами внутривенно, в условиях больницы. Если бадами, то уйдёт от полугода до года. Витамин Д принимать необходимо всем круглогодично, благо есть они веганские.",1,nontoxic
48,skip,"[id54217215|Анастасия], значит надо как-то ферритин до соточки поднять... Понятно.","[id422255248|De], идеальный ферритин - свой вес +30,это рекомендации эндокринологов. Витамин Д в дефиците, на нормы в этой таблице вообще не смотрите.",1,nontoxic
49,skip,"[id190798787|Надежда], плиз ненадо.... сходите к гематологу/терапевту, у них спросите) никакой соточки они не скажут","[id54217215|Анастасия], значит надо как-то ферритин до соточки поднять... Понятно.",1,nontoxic
50,speech,"[id422255248|De], 😄 хорошо.. )","[id190798787|Надежда], плиз ненадо.... сходите к гематологу/терапевту, у них спросите) никакой соточки они не скажут",1,nontoxic
51,skip,"ферритин должен быть минимум равен вашему весу, это норма, а не то что в референсах, гемоглобин вон начал падать","Как Вы себя чувствуете с такими показателями ферритина и витамина D? Срочно к врачу. Ферритин с таким показателем лучше поднимать железосодержащими растворами внутривенно, в условиях больницы. Если бадами, то уйдёт от полугода до года. Витамин Д принимать необходимо всем круглогодично, благо есть они веганские.",1,nontoxic
52,skip,"Имхо, ничего критичного, анемия легкой степени и дефицит В12 и Д. В России треть женщин с такими показателями, не веганки никто. Признаков воспаления не увидела, т.к. это СОЭ и СРБ, вы их не сдавали. Еще ферритин повышается при инфекциях, это может дать ложный результат, будто дефицита железа нет. 
К докторке можно, но не обязательно. Можете сначала начать пить железо (сорбифер, мальтофер), колоть В12 (лучше колоть, быстрее) и капли витамина Д (5000 ед минимум). Через месяц сдайте повторно. Если будет улучшение- ок, продолжаем. Не будет, или препараты плохо переносятся - тогда к врачу, подбирать препараты.",post,1,nontoxic
53,skip,"[id451738087|Nappy], месячные не то что обильные,но эндометрий знатно стал нарастать почему-то(но тоже в пределах нормы),считается ли это обильностью самих месячных незнаю. А воспаление это скорее всего потому что я прям перед анализами выздоровела только. А с желудком всегда были проблемы да...","У меня медицинское образование, если что 
И да... Помимо питания, то есть, что дефициты вызваны несбалансированным питанием, могут быть еще обильные месячные, гинекологические болезни, гастрит, нарушение всасывания и проч. Поэтому не просто пропить витамины и железо, а обследоваться",1,nontoxic
54,skip,"[id451738087|Nappy], и анемию мне и в детстве ставили тоже. Вот жаль тех данных не найти,какой интересно был гемоглобин и ферритин тогда","У меня медицинское образование, если что 
И да... Помимо питания, то есть, что дефициты вызваны несбалансированным питанием, могут быть еще обильные месячные, гинекологические болезни, гастрит, нарушение всасывания и проч. Поэтому не просто пропить витамины и железо, а обследоваться",1,nontoxic
55,speech,"[id451738087|Nappy], 👍👍👍","У меня медицинское образование, если что 
И да... Помимо питания, то есть, что дефициты вызваны несбалансированным питанием, могут быть еще обильные месячные, гинекологические болезни, гастрит, нарушение всасывания и проч. Поэтому не просто пропить витамины и железо, а обследоваться",1,nontoxic
56,skip,"У анемии причин может быть очень много, поэтому идите, пожалуйста, к терапевтке и всё у вас будет хорошо.",post,1,nontoxic
57,skip,,post,1,nontoxic
58,skip,🐣,post,1,nontoxic
59,skip,"Йоу, мое почтение!😌
Теперь вы состоите в секте огрессивных эко зоозащитников, готовьтесь к обороне с невеганского вражеского тыла сахсхс",post,1,nontoxic
60,skip,,post,1,nontoxic
61,speech,Это большой шаг в твоей жизни. Мои поздравления. Горжусь тобой,post,1,nontoxic
62,skip,,post,1,nontoxic
63,positive,Сердечко радуется таким постам💕,post,1,nontoxic
64,skip,"2. Почти любой препарат с кеторолаком (кеторол, кеторол экспресс, и т.д.)",post,1,nontoxic
65,skip,"[id45652304|Мария], плюсую, мне только кеторол и помогает не помереть 🌝","2. Почти любой препарат с кеторолаком (кеторол, кеторол экспресс, и т.д.)",1,nontoxic
66,skip,"2. Надеюсь вы обращались в гинекологине с болью во время месячных. Они не должны быть болезненными, так чтобы хлестать сильный обезбол на постоянке. Болезненные месячные обычно следствие каких-либо проблем со здоровьем. Не надо закрывать глаза на боль, даже если общество этому учит с рождения.",post,1,nontoxic
67,skip,"[id253401186|Софья], присоединяюсь. это называется дисменорея, это патология, и ее надо стараться лечить. правда иногда это не выходит, насколько знаю","2. Надеюсь вы обращались в гинекологине с болью во время месячных. Они не должны быть болезненными, так чтобы хлестать сильный обезбол на постоянке. Болезненные месячные обычно следствие каких-либо проблем со здоровьем. Не надо закрывать глаза на боль, даже если общество этому учит с рождения.",1,nontoxic
68,skip,"[id253401186|Софья], насколько мне известно есть и вариант нормы, но чтобы это узнать, нужно конечно обследоваться.","2. Надеюсь вы обращались в гинекологине с болью во время месячных. Они не должны быть болезненными, так чтобы хлестать сильный обезбол на постоянке. Болезненные месячные обычно следствие каких-либо проблем со здоровьем. Не надо закрывать глаза на боль, даже если общество этому учит с рождения.",1,nontoxic
69,skip,я Миг пью. больше ничего без пжп не знаю...,post,1,nontoxic
70,skip,"1. Я так понимаю, ты уже показывала маме позиции мед организаций, о которых здесь часто упоминается. Но важно объяснить, что это не рандомные «иностранные компании», а именно медицинские организации, отвечающие за здравоохранение в разных странах. Что это компетентные люди, в общем, и что их мнение значимо и основано на исследованиях.

Почитай канал в тг evidence-based vegan, Аня всегда даёт ссылки на исследования. Недавно там была статья про хороших веган диетологов, за которыми можно следить (но они англоязычные), а ещё вот отличная ссылка на статью про железо и веганство: https://t.me/evidencevegan/46

Кстати, это чистая правда, и у меня, и у моей мамы в молодости на всеядном питании были проблемы с гемоглобином и слабостью вплоть до обмороков, это просто очень распространённая проблема. Сейчас на сбалансированном полноценном веганском питании, мне кажется, я чувствую себя даже лучше)",post,1,nontoxic
71,skip,"Привет
У меня схожая ситуация, как у тебя в пункте 1
И честно говоря, единственное, к чему я пришла – нужно время, родителям просто нужно время(хотя, конечно, всё не так просто)
У меня у самой часто бывают ссоры с родителями по этому поводу и не раз они заканчивались слезами и истериками
В такие моменты, я боялась, что сдамся(потому что это очень тяжело, терпеть нападки от родителей чуть не каждый день)
Сейчас ситуация немного лучше, но это только скорее потому, что я в основном не живу дома и прижаю туда не надолго(ибо если быть долго дома, это чревато теми же ссорами)
Какие выходы я для себя нашла:
Во-первых, больше изучать информацию по питанию, и соответственно сделать питание более полезным и сбалансированным, дабы улучшить моё состояние здоровья(чтобы потом с гордо поднятой головой показать, до чего меня, так сказать ""довело"" веганство);
Во-вторых, стараюсь все колкие моментыв общении с родителями либо пропускать мимо ушей, либо отшучиваться(конечно, не всегда выходит, но я стараюсь)
В-третьих, стараюсь порой баловать родных своей полезной едой и не забывать немножко просвещать их о её полезности;
Ну, и в-четвёртых, решила, что когда заработаю денег, постараюсь найти квалифированного врача и сходить к нему с мамой, чтобы он её успокоил(надеюсь, в нашей стране найдутся такие врачи)
И, в общем, сейчас так сложилось, что видимо мама устала со мной ссориться и решила: пусть она немного побалуется, а когда через 1-2 года начнуться проблемы со здоровьем, то поймёт, что это плохо, вредно, и прочее в этом духе🤦🏻‍♀️
Крч, как-то, на этом и сошлись
Ну, а я в свою очередь стараюсь, чтобы мама увидела обратную сторону и поняла, что это мне не вредит.
Из того, что я могу тебе посоветовать: может попросишь маму подождать и дать тебе время на восстановление гемоглобина, а через какое-то время снова сдать анализы, думаю, если правильно подойти к этому вопросу, то гемоглобин должен восстановиться (питание, витамины и т.д.)
В общем, не думаю, что я тебе особо помогла😄, но может всё-таки кому-то мой опыт будет полезен:)",post,1,nontoxic
